structure,energy_distance,wyckoff_rmse,wyckoff_mae,rms_anonymous,rms_dist,sinkhorn_dist,chamfer_dist,hausdorff_dist,superpose_rmsd,edit_graph_distance,fingerPrint,XRD_dist,OFM_dist
Ca4S4_8_0.205041_52_2091.cif,47.4727,5555,5555,,None,23.1634,4.5180,3.8934,2.3558,4.0000,3.1877,2.1552,0.5579
Ca4S4_8_-0.160500_82_3082.cif,48.7198,5555,5555,,None,14.8361,3.2985,3.3679,2.2615,8.0000,2.8528,2.3399,0.2758
Ca4S4_8_-0.118881_27_967.cif,27.3766,5555,5555,,None,20.0977,3.5961,4.4720,1.8990,12.0000,0.0567,2.8026,0.4600
Ca4S4_8_0.097086_37_1234.cif,93.7369,5555,5555,,None,64.4540,10.3232,16.3316,2.2884,3.0000,3.1595,2.4346,0.5461
Ca4S4_8_-0.146080_137_4698.cif,95.3866,5555,5555,,None,43.1488,7.9495,10.8793,2.1671,10.0000,3.3823,3.1329,0.8040
Ca4S4_8_-0.326288_73_2750.cif,39.8020,5555,5555,,None,29.1562,5.0807,7.2443,2.2656,3.0000,2.9536,2.2005,0.5213
Ca4S4_8_-0.228354_1_1.cif,23.9459,5555,5555,,None,37.6982,6.4785,8.2997,2.1735,0.0000,2.6601,2.1278,0.3722
Ca4S4_8_-0.276677_125_4390.cif,17.8525,5555,5555,,None,24.0713,3.9163,6.1184,2.1287,0.0000,0.3309,2.5302,0.3686
Ca4S4_8_0.245336_129_4440.cif,28.8563,5555,5555,,None,64.7338,10.1610,16.3455,2.2270,0.0000,3.4323,2.4218,0.5733
Ca4S4_8_-0.111322_122_4267.cif,46.7547,5555,5555,,None,26.6449,4.8340,6.3716,2.1176,5.0000,2.9655,2.3154,0.3408
Ca4S4_8_-0.026513_110_3884.cif,21.9123,5555,5555,,None,11.1675,2.4307,2.6832,2.1512,4.0000,3.1698,2.5525,0.4423
Ca4S4_8_-0.426187_136_4685.cif,44.6181,5555,5555,,None,22.1990,4.1838,5.2756,2.0035,8.0000,2.8275,2.3601,0.4453
Ca4S4_8_-0.035397_116_3975.cif,31.4655,5555,5555,,None,51.1558,8.8132,11.0679,2.2193,2.0000,3.0809,2.3204,0.4672
Ca4S4_8_-0.273417_22_739.cif,79.4968,5555,5555,,None,17.2893,3.4433,3.0679,2.0681,8.0000,2.9729,2.6697,0.5694
Ca4S4_8_0.224876_46_1795.cif,28.7938,5555,5555,,None,39.9691,6.6624,10.6783,2.2851,0.0000,3.9069,2.2967,0.4895
Ca4S4_8_-0.152296_56_2286.cif,47.6902,5555,5555,,None,41.2824,7.1895,9.6263,2.3969,5.0000,3.4159,2.4011,0.3329
Ca4S4_8_0.281570_81_2990.cif,54.9087,5555,5555,,None,67.7882,10.6877,14.7112,2.2885,6.0000,3.3295,2.4502,0.4374
Ca4S4_8_0.207467_71_2721.cif,34.2564,5555,5555,,None,48.4388,7.6693,10.2188,2.1454,0.0000,3.2579,2.5151,0.5954
Ca4S4_8_0.246610_59_2378.cif,28.7706,5555,5555,,None,51.6726,8.4041,12.7916,2.2159,0.0000,3.0295,2.1775,0.5238
Ca4S4_8_-0.341213_55_2195.cif,35.1128,5555,5555,,None,44.4400,7.7929,9.3768,1.9824,4.0000,3.0000,2.3315,0.4034
Ca4S4_8_-0.030141_64_2531.cif,61.7571,5555,5555,,None,44.6248,8.6719,8.3135,2.1567,7.0000,2.8769,2.1096,0.4057
Ca4S4_8_-0.478676_33_1122.cif,15.8375,5555,5555,,None,30.1050,4.4280,6.1496,2.1882,0.0000,3.0647,2.3405,0.4260
Ca4S4_8_0.201744_65_2543.cif,168.0566,5555,5555,,None,49.5099,8.3106,12.4648,2.2667,4.0000,4.1610,3.1438,0.7505
Ca4S4_8_-0.471406_135_4644.cif,154.2800,5555,5555,,None,7.3219,1.8144,1.6212,1.8859,4.0000,3.4191,2.9626,0.2210
Ca4S4_8_0.319325_14_461.cif,31.1406,5555,5555,,None,13.4730,3.3682,2.3848,1.8799,0.0000,3.2614,2.3856,0.6351
Ca4S4_8_-0.367411_107_3844.cif,76.5044,5555,5555,,None,20.1865,3.6543,4.3915,1.9854,3.0000,3.0970,2.2776,0.6262
Ca4S4_8_-0.451656_53_2124.cif,224.3283,5555,5555,,None,34.3274,6.3417,9.7734,1.9503,6.0000,3.3334,2.8139,0.3404
Ca4S4_8_0.074623_78_2795.cif,54.4891,5555,5555,,None,50.6668,8.1759,13.9704,2.3216,5.0000,3.1223,2.2517,0.4233
Ca4S4_8_0.196513_89_3305.cif,40.6118,5555,5555,,None,27.0317,4.7204,6.6013,2.2778,4.0000,2.9255,2.3578,0.5041
