structure,energy_distance,wyckoff_rmse,wyckoff_mae,rms_anonymous,rms_dist,sinkhorn_dist,chamfer_dist,hausdorff_dist,superpose_rmsd,edit_graph_distance,fingerPrint,XRD_dist,OFM_dist
Li3Ti3Se6O3_15_-0.122032_23_17466.cif,113.2396,0.3818,0.2924,,None,27.9372,3.2304,2.8166,7.2973,19.0000,2.2832,1.6022,0.5407
Li3Ti3Se6O3_15_0.142434_25_17486.cif,74.5503,0.3770,0.2916,,None,27.3459,3.0488,3.3390,7.2968,21.0000,2.0681,1.6568,0.5725
Li3Ti3Se6O3_15_0.176629_34_17547.cif,74.9437,0.3537,0.2598,,None,26.5577,3.3260,3.3470,7.3140,10.0000,2.4150,1.4783,0.5682
Li3Ti3Se6O3_15_-0.299004_94_17873.cif,278.0991,0.3726,0.2787,,None,23.8962,3.0618,2.9762,7.3714,20.0000,2.2711,1.7140,0.9313
Li3Ti3Se6O3_15_-0.125395_95_17874.cif,319.0237,0.3388,0.2592,,None,24.3581,3.0627,2.9675,7.4089,21.0000,2.5354,1.8556,0.7815
Li3Ti3Se6O3_15_0.038535_24_17484.cif,46.7014,0.3681,0.2848,,None,27.5804,3.1508,3.3011,7.2020,18.0000,2.3473,1.6006,0.6259
Li3Ti3Se6O3_15_-0.318892_39_17597.cif,96.4824,0.3658,0.2757,,None,27.7467,3.3744,3.0721,7.2605,15.0000,2.3500,1.5069,0.5497
Li3Ti3Se6O3_15_0.006478_32_17536.cif,66.7163,0.3531,0.2603,,None,26.4220,3.2164,3.5160,7.3127,11.0000,2.6446,1.5311,0.5675
Li3Ti3Se6O3_15_0.075807_103_17951.cif,185.4493,0.3693,0.2771,,None,24.8583,3.0719,3.0846,7.3754,22.0000,2.3750,1.8999,0.6964
Li3Ti3Se6O3_15_0.289343_18_17261.cif,66.7580,0.2948,0.1759,,None,26.0294,2.9542,4.5785,7.3824,8.0000,2.4513,2.4543,0.4501
Li3Ti3Se6O3_15_0.182818_5_8790.cif,75.1532,0.3496,0.2685,,None,23.9271,2.9483,3.0767,7.4350,7.0000,2.6162,1.6892,0.5337
Li3Ti3Se6O3_15_0.336107_31_17535.cif,102.0379,0.3850,0.3035,,None,26.6777,3.2331,3.5804,7.3317,3.0000,2.6855,1.4585,0.5739
Li3Ti3Se6O3_15_0.184830_21_17433.cif,117.7002,0.3668,0.2695,,None,30.8198,3.5861,2.9486,7.2812,18.0000,2.3294,1.7198,0.5648
Li3Ti3Se6O3_15_-0.033021_22_17464.cif,84.7131,0.3777,0.2897,,None,26.0856,3.1012,2.8316,7.2829,20.0000,2.2182,1.8095,0.5290
Li3Ti3Se6O3_15_0.034366_33_17542.cif,87.3422,0.3529,0.2597,,None,26.1708,3.2646,3.3788,7.3066,10.0000,2.4851,1.5175,0.5688
